county,apr_2013active_dem,apr_2013active_rep,apr_2013active_uaf,apr_2013total_active,apr_2013inactive_dem,apr_2013inactive_rep,apr_2013inactive_uaf,apr_2013total_inactive,apr_2013grand_total,aug_2013active_dem,aug_2013active_rep,aug_2013active_uaf,aug_2013total_active,aug_2013inactive_dem,aug_2013inactive_rep,aug_2013inactive_uaf,aug_2013total_inactive,aug_2013grand_total,dec_2012active_dem,dec_2012active_rep,dec_2012active_uaf,dec_2012total_active,dec_2012inactive_dem,dec_2012inactive_rep,dec_2012inactive_uaf,dec_2012total_inactive,dec_2012grand_total,feb_2013active_dem,feb_2013active_rep,feb_2013active_uaf,feb_2013total_active,feb_2013inactive_dem,feb_2013inactive_rep,feb_2013inactive_uaf,feb_2013total_inactive,feb_2013grand_total,jan_2013active_dem,jan_2013active_rep,jan_2013active_uaf,jan_2013total_active,jan_2013inactive_dem,jan_2013inactive_rep,jan_2013inactive_uaf,jan_2013total_inactive,jan_2013grand_total,july_2013active_dem,july_2013active_rep,july_2013active_uaf,july_2013total_active,july_2013inactive_dem,july_2013inactive_rep,july_2013inactive_uaf,july_2013total_inactive,july_2013grand_total,june_2013active_dem,june_2013active_rep,june_2013active_uaf,june_2013total_active,june_2013inactive_dem,june_2013inactive_rep,june_2013inactive_uaf,june_2013total_inactive,june_2013grand_total,mar_2013active_dem,mar_2013active_rep,mar_2013active_uaf,mar_2013total_active,mar_2013inactive_dem,mar_2013inactive_rep,mar_2013inactive_uaf,mar_2013total_inactive,mar_2013grand_total,may_2013active_dem,may_2013active_rep,may_2013active_uaf,may_2013total_active,may_2013inactive_dem,may_2013inactive_rep,may_2013inactive_uaf,may_2013total_inactive,may_2013grand_total,nov_2012active_dem,nov_2012active_rep,nov_2012active_uaf,nov_2012total_active,nov_2012inactive_dem,nov_2012inactive_rep,nov_2012inactive_uaf,nov_2012total_inactive,nov_2012grand_total,oct_2013active_dem,oct_2013active_rep,oct_2013active_uaf,oct_2013total_active,oct_2013inactive_dem,oct_2013inactive_rep,oct_2013inactive_uaf,oct_2013total_inactive,oct_2013grand_total,sept_2013active_dem,sept_2013active_rep,sept_2013active_uaf,sept_2013total_active,sept_2013inactive_dem,sept_2013inactive_rep,sept_2013inactive_uaf,sept_2013total_inactive,sept_2013grand_total
Adams,69826,50170,64019,184015,21840,13924,32933,68697,252712,79400,55691,80989,216080,12330,8581,17128,38039,254119,69298,49697,62542,181537,24677,16092,37590,78359,259896,69509,49908,63189,182606,22120,14124,33339,69583,252189,69346,49736,62678,181760,22471,14390,33836,70697,252457,79383,55629,80628,215640,12394,8629,17197,38220,253860,70058,50434,64891,185383,21610,13793,32663,68066,253449,69682,50061,63623,183366,21938,13998,33095,69031,252397,69935,50248,64440,184623,21719,13861,32809,68389,253012,70682,50487,66552,187721,22735,15084,32826,70645,258366,79133,55321,81341,215795,12723,8970,17654,39347,255142,79075,55195,80854,215124,12850,9211,17866,39927,255051
Alamosa,2934,2235,1872,7041,708,472,934,2114,9155,3256,2449,2441,8146,366,246,421,1033,9179,2918,2215,1817,6950,1028,761,1386,3175,10125,2925,2230,1851,7006,712,477,942,2131,9137,2919,2228,1840,6987,721,481,949,2151,9138,3259,2452,2405,8116,366,249,425,1040,9156,2932,2238,1893,7063,700,467,927,2094,9157,2929,2235,1863,7027,710,471,940,2121,9148,2933,2238,1883,7054,707,470,930,2107,9161,2882,2220,1747,6849,1039,770,1400,3209,10058,3269,2455,2465,8189,363,238,415,1016,9205,3267,2450,2457,8174,364,239,420,1023,9197
Arapahoe,104276,99016,95568,298860,22692,16325,35095,74112,372972,116376,108009,122050,346435,10919,7672,11048,29639,376074,102264,97848,91094,291206,29628,20922,43341,93891,385097,103941,98772,94287,297000,23105,16671,35721,75497,372497,103150,98171,92402,293723,28094,19597,41499,89190,382913,116153,107839,121271,345263,10965,7719,11068,29752,375015,104622,99306,96900,300828,22386,16123,34697,73206,374034,104168,98954,95034,298156,22805,16435,35322,74562,372718,104465,99174,96293,299932,22511,16204,34866,73581,373513,107427,101492,102884,311803,24433,17337,31250,73020,384823,116916,108187,123752,348855,10835,7552,11088,29475,378330,116742,108270,122936,347948,10955,7660,11195,29810,377758
Archuleta,1656,3519,1927,7102,721,1325,1133,3179,10281,1855,3821,2348,8024,490,946,735,2171,10195,1620,3462,1847,6929,742,1386,1170,3298,10227,1638,3498,1886,7022,728,1344,1146,3218,10240,1634,3495,1873,7002,730,1345,1149,3224,10226,1879,3873,2379,8131,487,940,716,2143,10274,1663,3532,1963,7158,691,1270,1119,3080,10238,1650,3507,1903,7060,723,1334,1136,3193,10253,1658,3522,1946,7126,692,1276,1120,3088,10214,1599,3444,1795,6838,755,1411,1184,3350,10188,1848,3826,2374,8048,469,891,704,2064,10112,1853,3826,2355,8034,472,900,711,2083,10117
Baca,675,1117,437,2229,141,224,216,581,2810,746,1238,591,2575,56,98,96,250,2825,662,1101,382,2145,189,311,309,809,2954,667,1110,393,2170,151,239,232,622,2792,666,1109,387,2162,186,304,309,799,2961,747,1237,583,2567,57,100,97,254,2821,670,1119,451,2240,136,219,215,570,2810,674,1114,428,2216,145,227,218,590,2806,676,1119,444,2239,136,222,215,573,2812,662,1101,380,2143,190,314,316,820,2963,740,1237,604,2581,55,97,95,247,2828,744,1238,596,2578,56,98,95,249,2827
Bent,760,779,488,2027,254,172,346,772,2799,870,831,653,2354,142,106,184,432,2786,759,783,472,2014,264,182,354,800,2814,759,777,481,2017,257,176,350,783,2800,755,778,478,2011,262,181,353,796,2807,867,832,653,2352,142,108,184,434,2786,758,775,493,2026,252,170,343,765,2791,760,779,482,2021,255,175,348,778,2799,760,776,491,2027,253,171,345,769,2796,755,783,461,1999,271,190,363,824,2823,868,830,670,2368,139,105,181,425,2793,859,826,656,2341,139,105,182,426,2767
Boulder,80368,36480,68201,185049,18531,9821,29284,57636,242685,83665,38324,76191,198180,15589,7973,22661,46223,244403,79915,36233,66604,182752,22110,11285,33388,66783,249535,80252,36396,67544,184192,18778,9972,29622,58372,242564,80050,36263,67111,183424,19036,10139,29964,59139,242563,84756,38875,77135,200766,14322,7433,21174,42929,243695,80613,36529,68897,186039,18407,9755,29093,57255,243294,80328,36445,67901,184674,18670,9895,29434,57999,242673,80482,36500,68572,185554,18452,9786,29182,57420,242974,81896,37212,70639,189747,19974,10263,28975,59212,248959,84366,38432,78091,200889,15055,7694,22079,44828,245717,83906,38418,76946,199270,15415,7878,22502,45795,245065
Broomfield,10235,11452,12329,34016,1877,1906,3740,7523,41539,11033,12219,14402,37654,1185,1255,1936,4376,42030,10144,11340,12039,33523,2404,2430,4505,9339,42862,10200,11407,12179,33786,1910,1940,3783,7633,41419,10192,11391,12143,33726,1915,1949,3802,7666,41392,11002,12146,14267,37415,1189,1263,1945,4397,41812,10291,11480,12457,34228,1870,1890,3708,7468,41696,10221,11433,12256,33910,1899,1929,3770,7598,41508,10260,11462,12398,34120,1876,1898,3720,7494,41614,10276,11411,12531,34218,2247,2371,3934,8552,42770,10209,11479,13275,34963,2097,2060,3330,7487,42450,10110,11381,13070,34561,2151,2123,3389,7663,42224
Chaffee,3015,4259,3564,10838,486,661,1161,2308,13146,3154,4518,4185,11857,331,398,607,1336,13193,2995,4224,3488,10707,613,838,1458,2909,13616,3012,4245,3512,10769,499,677,1189,2365,13134,2990,4225,3493,10708,525,703,1203,2431,13139,3189,4549,4202,11940,309,386,587,1282,13222,3014,4274,3633,10921,485,654,1152,2291,13212,3012,4250,3536,10798,494,663,1167,2324,13122,3010,4263,3599,10872,486,659,1155,2300,13172,3072,4363,3743,11178,557,736,1170,2463,13641,3154,4504,4237,11895,324,393,604,1321,13216,3155,4513,4220,11888,321,390,602,1313,13201
Cheyenne,152,766,231,1149,45,115,104,264,1413,169,824,290,1283,22,55,48,125,1408,147,757,217,1121,54,156,124,334,1455,151,765,228,1144,45,118,106,269,1413,151,762,228,1141,45,121,107,273,1414,169,828,288,1285,22,54,48,124,1409,150,767,232,1149,44,115,102,261,1410,152,766,231,1149,45,115,105,265,1414,151,764,231,1146,45,115,103,263,1409,148,755,210,1113,55,163,138,356,1469,167,828,297,1292,21,53,45,119,1411,167,825,289,1281,21,54,47,122,1403
Clear Creek,1931,1858,2166,5955,442,473,939,1854,7809,2106,2049,2640,6795,268,283,490,1041,7836,1912,1831,2065,5808,538,554,1070,2162,7970,1929,1861,2133,5923,445,487,946,1878,7801,1916,1836,2085,5837,457,496,957,1910,7747,2100,2050,2629,6779,269,283,492,1044,7823,1942,1867,2194,6003,436,464,928,1828,7831,1932,1856,2159,5947,445,482,942,1869,7816,1938,1868,2181,5987,438,465,934,1837,7824,1909,1827,2059,5795,542,563,1083,2188,7983,2109,2041,2699,6849,267,283,484,1034,7883,2106,2049,2662,6817,268,284,488,1040,7857
Conejos,2187,1603,475,4265,602,325,314,1241,5506,2533,1773,705,5011,249,148,104,501,5512,2182,1596,454,4232,638,358,343,1339,5571,2187,1604,464,4255,609,332,318,1259,5514,2183,1597,458,4238,636,356,338,1330,5568,2536,1771,694,5001,249,148,106,503,5504,2189,1603,485,4277,599,320,312,1231,5508,2185,1605,468,4258,606,330,317,1253,5511,2189,1603,477,4269,601,323,313,1237,5506,2171,1592,448,4211,651,362,351,1364,5575,2549,1776,723,5048,248,146,103,497,5545,2543,1777,719,5039,249,147,103,499,5538
Costilla,1401,273,287,1961,405,129,225,759,2720,1657,331,430,2418,153,75,107,335,2753,1386,266,253,1905,440,142,235,817,2722,1402,272,273,1947,414,134,228,776,2723,1398,272,270,1940,421,136,230,787,2727,1655,330,427,2412,155,75,107,337,2749,1404,273,304,1981,400,129,226,755,2736,1406,271,284,1961,409,130,226,765,2726,1402,274,298,1974,403,129,225,757,2731,1528,288,306,2122,294,123,175,592,2714,1655,334,432,2421,152,75,107,334,2755,1659,333,430,2422,153,75,107,335,2757
Crowley,410,856,301,1567,122,132,187,441,2008,477,920,415,1812,58,70,88,216,2028,401,848,290,1539,176,224,280,680,2219,407,853,302,1562,125,133,190,448,2010,401,849,295,1545,130,141,193,464,2009,475,919,407,1801,58,70,88,216,2017,412,858,311,1581,120,132,186,438,2019,409,853,302,1564,123,132,188,443,2007,411,857,310,1578,120,132,186,438,2016,400,844,288,1532,178,225,281,684,2216,474,920,415,1809,57,68,90,215,2024,476,919,416,1811,57,68,90,215,2026
Custer,458,1712,660,2830,75,215,190,480,3310,490,1786,783,3059,43,126,93,262,3321,452,1709,618,2779,127,332,267,726,3505,458,1708,639,2805,75,221,191,487,3292,456,1710,633,2799,125,324,265,714,3513,491,1798,779,3068,41,117,86,244,3312,460,1710,674,2844,73,209,183,465,3309,459,1709,647,2815,75,219,189,483,3298,458,1711,666,2835,74,209,185,468,3303,444,1697,602,2743,138,377,291,806,3549,495,1795,805,3095,43,123,89,255,3350,494,1789,796,3079,43,123,89,255,3334
Delta,3231,8374,4879,16484,857,1581,1960,4398,20882,3501,8900,5891,18292,577,1042,1104,2723,21015,3203,8361,4727,16291,922,1699,2075,4696,20987,3226,8363,4814,16403,865,1597,1987,4449,20852,3218,8361,4769,16348,874,1625,2009,4508,20856,3521,8950,5888,18359,553,979,1056,2588,20947,3229,8380,4950,16559,847,1571,1940,4358,20917,3227,8373,4845,16445,861,1589,1972,4422,20867,3227,8375,4918,16520,854,1573,1947,4374,20894,3190,8316,4638,16144,963,1768,2134,4865,21009,3497,8902,5984,18383,564,1019,1080,2663,21046,3503,8895,5937,18335,566,1021,1089,2676,21011
Denver,163364,53101,106077,322542,49027,21103,59689,129819,452361,177754,57544,125323,360621,35516,16970,43385,95871,456492,161374,52287,102454,316115,67267,26917,74423,168607,484722,162747,52826,104625,320198,49688,21333,60360,131381,451579,162292,52666,103822,318780,50178,21585,60938,132701,451481,177876,57667,124763,360306,35064,16712,42934,94710,455016,164196,53385,107816,325397,48604,20966,59245,128815,454212,162998,52954,105306,321258,49264,21195,59976,130435,451693,163662,53242,106859,323763,48799,21025,59451,129275,453038,169226,54846,112759,336831,59622,24426,63642,147690,484521,177941,57243,127132,362316,34072,16424,41778,92274,454590,178548,57597,126978,363123,33972,16448,41688,92108,455231
Dolores,375,581,347,1303,74,121,179,374,1677,400,644,420,1464,47,62,116,225,1689,374,569,324,1267,82,132,188,402,1669,378,579,339,1296,75,124,179,378,1674,375,574,330,1279,80,127,186,393,1672,410,650,423,1483,38,53,109,200,1683,376,582,351,1309,74,118,178,370,1679,377,581,342,1300,74,122,179,375,1675,375,581,348,1304,74,120,179,373,1677,373,570,317,1260,82,132,191,405,1665,400,644,423,1467,44,61,118,223,1690,403,644,421,1468,45,62,118,225,1693
Douglas,35349,84194,54165,173708,7483,15290,17425,40198,213906,37668,88583,62388,188639,5464,11573,10489,27526,216165,34838,83142,51915,169895,8386,17065,18729,44180,214075,35269,83989,53617,172875,7491,15338,17456,40285,213160,35103,83607,52785,171495,7538,15449,17600,40587,212082,38219,89917,63259,191395,4831,10015,9215,24061,215456,35545,84620,54938,175103,7434,15159,17282,39875,214978,35289,84029,53821,173139,7509,15355,17493,40357,213496,35435,84418,54580,174433,7454,15206,17349,40009,214442,35864,85311,55925,177100,7437,14987,14664,37088,214188,37951,89134,63679,190764,5248,11075,10135,26458,217222,37864,88989,63109,189962,5330,11281,10296,26907,216869
Eagle,6957,6855,9952,23764,1967,1835,4762,8564,32328,7803,7544,12213,27560,1151,1174,2683,5008,32568,6913,6800,9743,23456,2467,2288,5453,10208,33664,6932,6833,9840,23605,1983,1853,4810,8646,32251,6930,6821,9792,23543,1993,1866,4834,8693,32236,7824,7560,12231,27615,1127,1146,2632,4905,32520,7000,6882,10112,23994,1946,1820,4719,8485,32479,6944,6855,9892,23691,1981,1847,4781,8609,32300,6982,6869,10033,23884,1957,1829,4733,8519,32403,6819,6732,9514,23065,2519,2328,5596,10443,33508,7773,7506,12293,27572,1142,1161,2662,4965,32537,7753,7521,12234,27508,1148,1167,2676,4991,32499
El Paso,67911,140860,97826,306597,22212,29979,48665,100856,407453,78080,154809,127618,360507,12537,16834,22153,51524,412031,66772,139086,93903,299761,27523,36494,59660,123677,423438,67641,140269,96184,304094,22462,30415,49239,102116,406210,67235,139545,94754,301534,22874,31285,50251,104410,405944,77839,154435,126423,358697,12572,16891,22224,51687,410384,68290,141493,99631,309414,21996,29639,48176,99811,409225,67906,140666,97231,305803,22244,30059,48782,101085,406888,68100,141206,98762,308068,22086,29793,48384,100263,408331,69477,142064,103431,314972,25187,35467,50819,111473,426445,78300,155071,129564,362935,12398,16614,21873,50885,413820,78317,155136,128750,362203,12455,16722,22013,51190,413393
Elbert,2047,8343,4290,14680,458,1350,1460,3268,17948,2282,9044,5233,16559,217,691,583,1491,18050,2033,8258,4145,14436,641,1911,1903,4455,18891,2044,8330,4221,14595,464,1362,1492,3318,17913,2041,8300,4185,14526,470,1391,1524,3385,17911,2282,9032,5222,16536,220,692,586,1498,18034,2043,8338,4301,14682,457,1346,1454,3257,17939,2044,8331,4258,14633,461,1356,1473,3290,17923,2045,8345,4305,14695,457,1347,1458,3262,17957,2023,8213,4090,14326,648,1932,1932,4512,18838,2260,8993,5234,16487,233,782,644,1659,18146,2257,8964,5177,16398,241,800,653,1694,18092
Fremont,4777,10100,6452,21329,1237,1953,3051,6241,27570,5366,11041,8393,24800,613,997,1333,2943,27743,4757,10077,6116,20950,2444,3916,5126,11486,32436,4776,10082,6340,21198,1260,1992,3095,6347,27545,4779,10086,6247,21112,1264,2014,3143,6421,27533,5435,11123,8437,24995,552,914,1234,2700,27695,4763,10112,6570,21445,1231,1927,3020,6178,27623,4778,10089,6407,21274,1245,1971,3072,6288,27562,4770,10111,6526,21407,1234,1936,3025,6195,27602,4722,9995,5961,20678,2479,3990,5223,11692,32370,5374,11066,8540,24980,592,956,1318,2866,27846,5365,11049,8473,24887,600,961,1317,2878,27765
Garfield,6492,9053,9948,25493,1203,1584,3967,6754,32247,7047,9676,12136,28859,621,976,1999,3596,32455,6447,8989,9629,25065,2096,2653,5712,10461,35526,6480,9045,9786,25311,1233,1605,4016,6854,32165,6467,9023,9721,25211,1246,1635,4070,6951,32162,7052,9668,12113,28833,623,980,2002,3605,32438,6498,9084,10108,25690,1182,1569,3931,6682,32372,6491,9049,9878,25418,1214,1590,3982,6786,32204,6491,9074,10029,25594,1192,1575,3948,6715,32309,6411,8919,9454,24784,2121,2700,5791,10612,35396,7091,9716,12386,29193,614,965,1987,3566,32759,7063,9701,12292,29056,620,973,1997,3590,32646
Gilpin,1169,960,1404,3533,375,324,711,1410,4943,1294,1096,1710,4100,246,198,417,861,4961,1144,932,1331,3407,437,377,861,1675,5082,1155,948,1371,3474,395,335,745,1475,4949,1158,948,1371,3477,396,335,746,1477,4954,1297,1090,1704,4091,247,198,418,863,4954,1173,969,1412,3554,370,321,706,1397,4951,1168,959,1401,3528,379,325,714,1418,4946,1173,967,1405,3545,372,322,707,1401,4946,1146,929,1322,3397,438,379,870,1687,5084,1307,1099,1747,4153,242,197,416,855,5008,1301,1101,1736,4138,245,198,416,859,4997
Grand,2012,3835,2723,8570,761,1071,1711,3543,12113,2259,4162,3463,9884,511,751,1041,2303,12187,1979,3801,2612,8392,805,1149,1810,3764,12156,1999,3814,2676,8489,770,1084,1737,3591,12080,1988,3802,2639,8429,777,1103,1762,3642,12071,2256,4164,3436,9856,514,752,1046,2312,12168,2028,3846,2769,8643,748,1062,1696,3506,12149,2010,3829,2699,8538,765,1075,1718,3558,12096,2022,3838,2744,8604,750,1068,1705,3523,12127,1942,3810,2531,8283,828,1167,1836,3831,12114,2245,4114,3511,9870,492,709,998,2199,12069,2252,4128,3497,9877,497,726,1012,2235,12112
Gunnison,2769,2516,3822,9107,515,538,1491,2544,11651,2971,2745,4490,10206,325,315,887,1527,11733,2752,2483,3679,8914,1057,1049,2470,4576,13490,2768,2511,3764,9043,525,547,1507,2579,11622,2769,2500,3729,8998,532,553,1520,2605,11603,2958,2737,4468,10163,328,319,889,1536,11699,2776,2521,3863,9160,509,535,1476,2520,11680,2773,2511,3782,9066,519,539,1500,2558,11624,2775,2522,3854,9151,512,536,1478,2526,11677,2744,2525,3739,9008,1060,1015,2385,4460,13468,2975,2734,4503,10212,322,312,884,1518,11730,2974,2745,4498,10217,326,314,886,1526,11743
Hinsdale,94,399,139,632,15,48,17,80,712,106,421,152,679,4,28,4,36,715,95,397,133,625,20,69,29,118,743,94,396,137,627,15,49,17,81,708,95,397,134,626,15,49,18,82,708,105,422,152,679,4,28,4,36,715,95,404,143,642,15,48,15,78,720,94,398,139,631,15,49,17,81,712,95,402,139,636,15,48,17,80,716,103,417,146,666,11,48,16,75,741,108,420,154,682,4,28,4,36,718,108,422,152,682,4,28,4,36,718
Huerfano,1898,1003,910,3811,436,260,411,1107,4918,2073,1071,1136,4280,243,180,205,628,4908,1899,992,881,3772,522,305,462,1289,5061,1898,1002,901,3801,439,265,413,1117,4918,1897,1000,900,3797,516,302,462,1280,5077,2078,1075,1128,4281,246,179,204,629,4910,1893,993,919,3805,433,259,407,1099,4904,1896,1004,905,3805,438,262,412,1112,4917,1894,998,919,3811,433,259,407,1099,4910,1893,993,870,3756,531,308,468,1307,5063,2069,1070,1157,4296,240,178,205,623,4919,2064,1067,1143,4274,241,179,205,625,4899
