county,active_dem,active_rep,active_uaf,total_active,inactive_dem,inactive_rep,inactive_uaf,total_inactive,grand_total,year,month
Washington,276,2197,612,3085,32,140,88,260,3345,2017,oct
Weld,38864,64337,66378,169579,3245,4407,7580,15232,184811,2017,oct
Yuma,796,3080,1806,5682,65,173,178,416,6098,2017,oct
Adams,87964,62626,99650,250240,6420,4420,11487,22327,272567,2017,sept
Alamosa,3308,2573,2909,8790,307,212,527,1046,9836,2017,sept
Arapahoe,126861,107504,143804,378169,10462,7459,18164,36085,414254,2017,sept
Archuleta,2028,4255,2849,9132,350,551,453,1354,10486,2017,sept
Baca,580,1324,709,2613,32,65,103,200,2813,2017,sept
Bent,791,924,805,2520,144,132,199,475,2995,2017,sept
Boulder,96321,36302,85247,217870,7069,2757,10864,20690,238560,2017,sept
Broomfield,13527,12726,18712,44965,1150,1153,2289,4592,49557,2017,sept
Chaffee,3551,4686,4999,13236,240,318,697,1255,14491,2017,sept
Cheyenne,156,840,311,1307,15,52,35,102,1409,2017,sept
Clear Creek,2147,2085,2893,7125,206,184,422,812,7937,2017,sept
Conejos,2375,1774,824,4973,173,127,149,449,5422,2017,sept
Costilla,1556,390,536,2482,80,28,110,218,2700,2017,sept
Crowley,436,961,528,1925,39,48,76,163,2088,2017,sept
Custer,507,2217,911,3635,34,112,90,236,3871,2017,sept
Delta,3569,9609,6984,20162,200,460,683,1343,21505,2017,sept
Denver,196904,57666,149820,404390,17457,6070,24010,47537,451927,2017,sept
Dolores,334,708,426,1468,36,47,114,197,1665,2017,sept
Douglas,44215,99319,78572,222106,3363,7334,7837,18534,240640,2017,sept
Eagle,9302,7968,14144,31414,800,762,2119,3681,35095,2017,sept
El Paso,83992,161875,148336,394203,11596,15850,27114,54560,448763,2017,sept
Elbert,2311,10374,6051,18736,150,507,476,1133,19869,2017,sept
Fremont,5145,12103,9955,27203,496,985,1509,2990,30193,2017,sept
Garfield,8266,10581,14142,32989,489,673,1892,3054,36043,2017,sept
Gilpin,1247,1143,1927,4317,167,132,326,625,4942,2017,sept
Grand,2379,4317,4066,10762,150,223,489,862,11624,2017,sept
Gunnison,3671,2869,4949,11489,373,354,886,1613,13102,2017,sept
Hinsdale,116,418,165,699,9,31,21,61,760,2017,sept
Huerfano,1991,1266,1369,4626,148,111,200,459,5085,2017,sept
Jackson,110,700,203,1013,30,106,68,204,1217,2017,sept
Jefferson,118272,117048,156257,391577,9284,8225,16417,33926,425503,2017,sept
Kiowa,137,581,247,965,11,27,30,68,1033,2017,sept
Kit Carson,562,2584,1292,4438,58,173,240,471,4909,2017,sept
La Plata,12054,11269,14060,37383,1705,1495,2931,6131,43514,2017,sept
Lake,1830,822,1562,4214,233,129,343,705,4919,2017,sept
Larimer,64237,73254,95797,233288,4186,4295,11153,19634,252922,2017,sept
Las Animas,3934,2318,2488,8740,541,400,544,1485,10225,2017,sept
Lincoln,388,1695,691,2774,58,142,154,354,3128,2017,sept
Logan,1809,5900,3693,11402,228,425,752,1405,12807,2017,sept
Mesa,17865,41195,34900,93960,4006,7504,10028,21538,115498,2017,sept
Mineral,262,318,159,739,16,26,25,67,806,2017,sept
Moffat,853,4362,2430,7645,308,798,965,2071,9716,2017,sept
Montezuma,3642,7652,5559,16853,566,754,1211,2531,19384,2017,sept
Montrose,4541,12103,8862,25506,259,651,891,1801,27307,2017,sept
Morgan,2949,6511,5474,14934,216,307,606,1129,16063,2017,sept
Otero,3462,4024,3624,11110,267,217,508,992,12102,2017,sept
Ouray,1140,1290,1426,3856,113,213,232,558,4414,2017,sept
Park,2551,5140,5031,12722,258,465,676,1399,14121,2017,sept
Phillips,433,1581,726,2740,101,193,155,449,3189,2017,sept
Pitkin,4885,2144,5885,12914,630,365,1169,2164,15078,2017,sept
Prowers,1404,2990,2062,6456,131,279,434,844,7300,2017,sept
Pueblo,42253,25931,33046,101230,2812,1683,4417,8912,110142,2017,sept
Rio Blanco,329,2775,895,3999,34,181,247,462,4461,2017,sept
Rio Grande,2163,2770,1971,6904,219,276,427,922,7826,2017,sept
Routt,5222,4807,7394,17423,574,562,1257,2393,19816,2017,sept
Saguache,1652,854,1224,3730,181,80,255,516,4246,2017,sept
San Juan,177,135,305,617,22,19,56,97,714,2017,sept
San Miguel,2513,933,1987,5433,323,111,393,827,6260,2017,sept
Sedgwick,244,896,425,1565,31,90,95,216,1781,2017,sept
Summit,6414,4639,9555,20608,1536,1244,3166,5946,26554,2017,sept
Teller,2795,8507,6203,17505,339,794,943,2076,19581,2017,sept
Washington,275,2198,605,3078,31,139,89,259,3337,2017,sept
Weld,38767,64149,65734,168650,3239,4403,7590,15232,183882,2017,sept
Yuma,796,3088,1790,5674,65,172,175,412,6086,2017,sept
Adams,76158,54626,81264,212048,13091,8157,17831,39079,251127,2016,apr
Alamosa,2961,2242,2215,7418,553,350,735,1638,9056,2016,apr
Arapahoe,109603,101266,118321,329190,22457,14623,32480,69560,398750,2016,apr
Archuleta,1852,3820,2299,7971,446,743,769,1958,9929,2016,apr
Baca,621,1199,674,2494,60,109,128,297,2791,2016,apr
Bent,761,844,655,2260,173,137,238,548,2808,2016,apr
Boulder,86578,34889,72878,194345,18825,9377,29686,57888,252233,2016,apr
Broomfield,11598,11996,14925,38519,2021,1942,3644,7607,46126,2016,apr
Chaffee,3246,4311,4253,11810,456,609,1040,2105,13915,2016,apr
Cheyenne,153,848,290,1291,18,54,48,120,1411,2016,apr
Clear Creek,1992,1944,2503,6439,305,299,589,1193,7632,2016,apr
Conejos,2323,1662,699,4684,393,287,239,919,5603,2016,apr
Costilla,1551,336,442,2329,192,88,200,480,2809,2016,apr
Crowley,418,908,451,1777,68,78,95,241,2018,2016,apr
Custer,477,2012,746,3235,55,207,168,430,3665,2016,apr
Delta,3350,8541,6153,18044,570,1214,1440,3224,21268,2016,apr
Denver,176413,54212,124906,355531,33797,11241,38978,84016,439547,2016,apr
Dolores,343,645,395,1383,56,77,146,279,1662,2016,apr
Douglas,39863,92519,64975,197357,6489,13417,13210,33116,230473,2016,apr
Eagle,8079,7395,11907,27381,1305,1175,3030,5510,32891,2016,apr
El Paso,76323,151561,127457,355341,16678,22432,34473,73583,428924,2016,apr
Elbert,2204,9260,5262,16726,268,971,824,2063,18789,2016,apr
Fremont,4986,10851,9022,24859,742,1390,2012,4144,29003,2016,apr
Garfield,7304,9311,12213,28828,862,1277,2688,4827,33655,2016,apr
Gilpin,1208,1054,1589,3851,258,227,520,1005,4856,2016,apr
Grand,2115,4071,3558,9744,294,424,793,1511,11255,2016,apr
Gunnison,3153,2591,4089,9833,573,528,1356,2457,12290,2016,apr
Hinsdale,106,386,153,645,11,36,26,73,718,2016,apr
Huerfano,1926,1105,1068,4099,217,170,291,678,4777,2016,apr
Jackson,115,656,180,951,30,141,70,241,1192,2016,apr
Jefferson,109334,112500,134927,356761,15660,13789,24895,54344,411105,2016,apr
Kiowa,150,548,236,934,13,33,38,84,1018,2016,apr
Kit Carson,575,2390,1126,4091,95,272,325,692,4783,2016,apr
La Plata,11068,10471,11545,33084,2443,2218,3941,8602,41686,2016,apr
Lake,1685,711,1133,3529,558,304,867,1729,5258,2016,apr
Larimer,58058,68074,79698,205830,8012,8312,18587,34911,240741,2016,apr
Las Animas,3825,1982,1922,7729,774,591,738,2103,9832,2016,apr
Lincoln,380,1548,641,2569,72,188,205,465,3034,2016,apr
Logan,1806,5447,3361,10614,356,701,1026,2083,12697,2016,apr
Mesa,16386,36774,29977,83137,5106,10004,12674,27784,110921,2016,apr
Mineral,284,302,132,718,31,31,44,106,824,2016,apr
Moffat,807,3813,2037,6657,428,1110,1371,2909,9566,2016,apr
Montezuma,3385,6896,4550,14831,981,1404,1854,4239,19070,2016,apr
Montrose,4232,10892,7614,22738,480,1110,1504,3094,25832,2016,apr
Morgan,2701,5715,4606,13022,405,572,871,1848,14870,2016,apr
Otero,3292,3736,3098,10126,457,379,684,1520,11646,2016,apr
Ouray,1023,1270,1227,3520,159,256,319,734,4254,2016,apr
Park,2366,4596,4178,11140,428,834,1087,2349,13489,2016,apr
Phillips,416,1451,676,2543,124,284,215,623,3166,2016,apr
Pitkin,4376,2089,5340,11805,914,543,1511,2968,14773,2016,apr
Prowers,1314,2743,1858,5915,227,427,582,1236,7151,2016,apr
Pueblo,39746,23455,28441,91642,6291,3506,7844,17641,109283,2016,apr
Rio Blanco,326,2507,775,3608,66,367,370,803,4411,2016,apr
Rio Grande,2012,2659,1651,6322,422,482,541,1445,7767,2016,apr
Routt,4629,4438,6329,15396,911,878,1860,3649,19045,2016,apr
Saguache,1627,790,1028,3445,336,152,392,880,4325,2016,apr
San Juan,169,135,278,582,42,36,81,159,741,2016,apr
San Miguel,2214,836,1758,4808,443,179,550,1172,5980,2016,apr
Sedgwick,255,852,399,1506,30,101,87,218,1724,2016,apr
Summit,5684,4323,8191,18198,1939,1572,4120,7631,25829,2016,apr
Teller,2582,7509,5320,15411,487,1172,1292,2951,18362,2016,apr
Washington,266,2057,492,2815,45,189,131,365,3180,2016,apr
Weld,33298,54749,55358,143405,5698,7020,11766,24484,167889,2016,apr
Yuma,819,2942,1589,5350,103,307,307,717,6067,2016,apr
Adams,79495,56772,83631,219898,13891,9188,17977,41056,260954,2016,aug
Alamosa,3001,2292,2269,7562,606,375,757,1738,9300,2016,aug
Arapahoe,114374,102557,123096,340027,23704,16361,29696,69761,409788,2016,aug
Archuleta,1883,3878,2322,8083,506,842,735,2083,10166,2016,aug
Baca,601,1263,616,2480,70,128,135,333,2813,2016,aug
Bent,755,885,658,2298,180,145,230,555,2853,2016,aug
Boulder,89307,35029,72690,197026,19823,9756,29116,58695,255721,2016,aug
Broomfield,12201,12036,15668,39905,2217,2171,3507,7895,47800,2016,aug
Chaffee,3380,4415,4240,12035,491,640,1027,2158,14193,2016,aug
Cheyenne,157,836,288,1281,22,72,50,144,1425,2016,aug
Clear Creek,2044,1966,2541,6551,322,317,575,1214,7765,2016,aug
Conejos,2267,1616,685,4568,453,350,241,1044,5612,2016,aug
Costilla,1533,351,428,2312,203,93,205,501,2813,2016,aug
Crowley,421,912,447,1780,74,100,91,265,2045,2016,aug
Custer,465,2105,733,3303,67,220,150,437,3740,2016,aug
Delta,3434,8813,6108,18355,575,1244,1451,3270,21625,2016,aug
Denver,184229,55052,129760,369041,35322,12352,38944,86618,455659,2016,aug
Dolores,348,668,385,1401,56,76,143,275,1676,2016,aug
Douglas,41194,93933,67001,202128,5947,12766,11631,30344,232472,2016,aug
Eagle,8444,7497,12236,28177,1408,1293,2994,5695,33872,2016,aug
El Paso,77866,153337,130510,361713,18490,25085,35417,78992,440705,2016,aug
Elbert,2234,9566,5276,17076,300,1065,762,2127,19203,2016,aug
Fremont,5027,11228,9098,25353,817,1541,1908,4266,29619,2016,aug
Garfield,7586,9559,12340,29485,959,1412,2729,5100,34585,2016,aug
Gilpin,1187,1060,1667,3914,303,247,473,1023,4937,2016,aug
Grand,2237,4152,3521,9910,324,449,769,1542,11452,2016,aug
Gunnison,3197,2587,4014,9798,661,583,1375,2619,12417,2016,aug
Hinsdale,105,401,146,652,15,32,20,67,719,2016,aug
Huerfano,1953,1137,1066,4156,235,183,292,710,4866,2016,aug
Jackson,115,652,182,949,31,151,67,249,1198,2016,aug
Jefferson,111498,112926,137893,362317,16877,15035,24995,56907,419224,2016,aug
Kiowa,148,563,222,933,18,37,39,94,1027,2016,aug
Kit Carson,575,2422,1128,4125,102,290,313,705,4830,2016,aug
La Plata,11268,10492,11594,33354,2744,2543,3928,9215,42569,2016,aug
Lake,1729,705,1172,3606,594,316,839,1749,5355,2016,aug
Larimer,60016,68536,82692,211244,8790,9222,18566,36578,247822,2016,aug
Las Animas,3803,2023,1978,7804,835,633,695,2163,9967,2016,aug
Lincoln,383,1620,594,2597,73,200,202,475,3072,2016,aug
Logan,1800,5598,3362,10760,377,753,977,2107,12867,2016,aug
Mesa,16916,37750,29388,84054,5231,10376,12639,28246,112300,2016,aug
Mineral,256,317,126,699,38,41,44,123,822,2016,aug
Moffat,811,3900,2072,6783,435,1125,1278,2838,9621,2016,aug
Montezuma,3481,7061,4520,15062,1004,1464,1877,4345,19407,2016,aug
Montrose,4318,11064,7708,23090,550,1297,1441,3288,26378,2016,aug
Morgan,2715,5892,4734,13341,430,639,816,1885,15226,2016,aug
Otero,3313,3793,3077,10183,497,434,688,1619,11802,2016,aug
Ouray,1077,1270,1236,3583,174,280,300,754,4337,2016,aug
Park,2437,4700,4291,11428,468,863,1030,2361,13789,2016,aug
Phillips,412,1495,662,2569,135,273,202,610,3179,2016,aug
Pitkin,4510,2032,5201,11743,1011,578,1707,3296,15039,2016,aug
Prowers,1316,2788,1844,5948,241,467,544,1252,7200,2016,aug
Pueblo,40479,24029,28747,93255,6689,3947,8370,19006,112261,2016,aug
Rio Blanco,330,2572,743,3645,68,397,367,832,4477,2016,aug
Rio Grande,2035,2652,1594,6281,434,540,576,1550,7831,2016,aug
Routt,4778,4475,6470,15723,973,938,1797,3708,19431,2016,aug
Saguache,1602,787,1033,3422,376,168,391,935,4357,2016,aug
San Juan,158,131,290,579,47,39,78,164,743,2016,aug
San Miguel,2377,853,1674,4904,470,194,527,1191,6095,2016,aug
Sedgwick,251,866,387,1504,34,110,92,236,1740,2016,aug
Summit,5841,4323,8447,18611,2113,1656,3965,7734,26345,2016,aug
Teller,2631,7592,5401,15624,523,1280,1224,3027,18651,2016,aug
Washington,265,2097,482,2844,46,212,118,376,3220,2016,aug
Weld,34679,56544,56515,147738,6171,8105,10964,25240,172978,2016,aug
Yuma,810,2972,1568,5350,114,343,297,754,6104,2016,aug
Adams,72435,52591,78527,203553,14486,8888,19342,42716,246269,2015,dec
Alamosa,2846,2196,2106,7148,589,386,780,1755,8903,2015,dec
Arapahoe,102870,98247,113576,314693,25192,16290,35292,76774,391467,2015,dec
Archuleta,1766,3720,2202,7688,457,787,799,2043,9731,2015,dec
Baca,629,1154,655,2438,66,129,138,333,2771,2015,dec
Bent,752,821,626,2199,184,149,259,592,2791,2015,dec
Boulder,80772,34273,71176,186221,20678,9980,31928,62586,248807,2015,dec
Broomfield,10834,11595,14310,36739,2237,2070,3934,8241,44980,2015,dec
Chaffee,3062,4266,4106,11434,510,670,1141,2321,13755,2015,dec
Cheyenne,152,844,288,1284,18,54,51,123,1407,2015,dec
Clear Creek,1902,1881,2435,6218,337,326,649,1312,7530,2015,dec
Conejos,2274,1639,677,4590,423,297,246,966,5556,2015,dec
Costilla,1547,324,423,2294,207,93,212,512,2806,2015,dec
Crowley,416,893,420,1729,72,83,104,259,1988,2015,dec
Custer,465,1892,735,3092,59,221,179,459,3551,2015,dec
Delta,3258,8364,6079,17701,579,1243,1410,3232,20933,2015,dec
Denver,164648,52188,120302,337138,37864,12418,42711,92993,430131,2015,dec
Dolores,342,624,396,1362,61,86,142,289,1651,2015,dec
Douglas,37891,90295,62778,190964,7169,14549,14306,36024,226988,2015,dec
Eagle,7486,7218,11572,26276,1402,1245,3239,5886,32162,2015,dec
El Paso,71211,146489,123463,341163,17965,24351,36785,79101,420264,2015,dec
Elbert,2121,8918,5136,16175,283,1056,905,2244,18419,2015,dec
Fremont,4886,10623,8617,24126,797,1470,2132,4399,28525,2015,dec
Garfield,6749,8854,11796,27399,1034,1541,3100,5675,33074,2015,dec
Gilpin,1136,1044,1563,3743,280,241,560,1081,4824,2015,dec
Grand,1987,4002,3478,9467,316,439,820,1575,11042,2015,dec
Gunnison,2882,2471,4001,9354,647,580,1493,2720,12074,2015,dec
Hinsdale,95,383,148,626,10,45,29,84,710,2015,dec
Huerfano,1897,1039,1019,3955,238,181,308,727,4682,2015,dec
Jackson,104,643,171,918,32,155,71,258,1176,2015,dec
Jefferson,104317,110214,131752,346283,17357,14953,27079,59389,405672,2015,dec
Kiowa,156,549,232,937,14,36,39,89,1026,2015,dec
Kit Carson,573,2357,1083,4013,98,288,349,735,4748,2015,dec
La Plata,10294,10124,11381,31799,2687,2402,4229,9318,41117,2015,dec
Lake,1594,692,1101,3387,589,312,897,1798,5185,2015,dec
Larimer,54154,66122,78123,198399,9112,9192,20422,38726,237125,2015,dec
Las Animas,3759,1894,1800,7453,818,623,779,2220,9673,2015,dec
Lincoln,390,1496,620,2506,75,199,229,503,3009,2015,dec
Logan,1798,5341,3258,10397,368,741,1065,2174,12571,2015,dec
Mesa,15661,35905,28940,80506,5419,10496,13395,29310,109816,2015,dec
Mineral,301,268,132,701,31,32,48,111,812,2015,dec
Moffat,793,3710,1977,6480,453,1183,1424,3060,9540,2015,dec
Montezuma,3193,6745,4441,14379,1026,1460,1913,4399,18778,2015,dec
Montrose,4071,10633,7436,22140,526,1192,1613,3331,25471,2015,dec
Morgan,2664,5499,4449,12612,449,640,931,2020,14632,2015,dec
Otero,3224,3600,2941,9765,502,440,737,1679,11444,2015,dec
Ouray,933,1252,1204,3389,169,273,341,783,4172,2015,dec
Park,2202,4473,4043,10718,463,893,1175,2531,13249,2015,dec
Phillips,403,1425,665,2493,134,300,236,670,3163,2015,dec
Pitkin,4173,2038,5317,11528,977,573,1598,3148,14676,2015,dec
Prowers,1281,2647,1745,5673,245,483,625,1353,7026,2015,dec
Pueblo,38889,22798,27754,89441,6674,3684,8195,18553,107994,2015,dec
Rio Blanco,312,2459,754,3525,70,379,379,828,4353,2015,dec
Rio Grande,1910,2561,1580,6051,472,558,604,1634,7685,2015,dec
Routt,4340,4347,6235,14922,1000,955,2001,3956,18878,2015,dec
Saguache,1570,758,1006,3334,353,162,412,927,4261,2015,dec
San Juan,157,127,273,557,45,39,92,176,733,2015,dec
San Miguel,2087,829,1838,4754,456,178,565,1199,5953,2015,dec
Sedgwick,245,846,377,1468,32,104,92,228,1696,2015,dec
Summit,5164,4168,8039,17371,2052,1619,4330,8001,25372,2015,dec
Teller,2469,7227,5135,14831,519,1276,1363,3158,17989,2015,dec
Washington,265,2026,469,2760,50,201,136,387,3147,2015,dec
Weld,31650,52888,52991,137529,6376,7863,12954,27193,164722,2015,dec
Yuma,786,2920,1530,5236,112,324,323,759,5995,2015,dec
Adams,74165,53493,79205,206863,14016,8583,18791,41390,248253,2016,feb
Alamosa,2911,2223,2144,7278,573,362,756,1691,8969,2016,feb
Arapahoe,105772,99691,114946,320409,23964,15388,34021,73373,393782,2016,feb
Archuleta,1812,3779,2234,7825,454,756,781,1991,9816,2016,feb
Baca,622,1173,673,2468,63,114,131,308,2776,2016,feb
Bent,754,829,635,2218,177,144,251,572,2790,2016,feb
Boulder,83582,34552,71257,189391,19627,9621,30723,59971,249362,2016,feb
Broomfield,11269,11830,14471,37570,2127,1997,3805,7929,45499,2016,feb
Chaffee,3174,4302,4142,11618,470,633,1086,2189,13807,2016,feb
Cheyenne,156,843,286,1285,18,56,49,123,1408,2016,feb
Clear Creek,1969,1931,2462,6362,326,312,618,1256,7618,2016,feb
Conejos,2303,1639,689,4631,407,293,242,942,5573,2016,feb
Costilla,1558,329,431,2318,197,88,206,491,2809,2016,feb
Crowley,416,898,427,1741,69,78,101,248,1989,2016,feb
Custer,473,1968,724,3165,57,211,172,440,3605,2016,feb
Delta,3338,8470,6135,17943,553,1195,1371,3119,21062,2016,feb
Denver,170689,53378,121139,345206,35786,11662,40844,88292,433498,2016,feb
Dolores,340,634,393,1367,59,84,146,289,1656,2016,feb
Douglas,39024,91686,63490,194200,6781,13800,13683,34264,228464,2016,feb
Eagle,7847,7300,11652,26799,1355,1206,3144,5705,32504,2016,feb
El Paso,73932,149206,124734,347872,17330,23184,35557,76071,423943,2016,feb
Elbert,2172,9116,5165,16453,276,1007,864,2147,18600,2016,feb
Fremont,4958,10796,8774,24528,767,1435,2088,4290,28818,2016,feb
Garfield,7121,9156,11956,28233,910,1343,2823,5076,33309,2016,feb
Gilpin,1189,1051,1562,3802,272,237,537,1046,4848,2016,feb
Grand,2050,4027,3486,9563,310,426,807,1543,11106,2016,feb
Gunnison,3062,2536,4029,9627,597,544,1420,2561,12188,2016,feb
Hinsdale,104,384,148,636,11,37,26,74,710,2016,feb
Huerfano,1924,1064,1024,4012,232,174,300,706,4718,2016,feb
Jackson,104,654,171,929,32,149,71,252,1181,2016,feb
Jefferson,106815,111437,132217,350469,16545,14293,26068,56906,407375,2016,feb
Kiowa,152,552,233,937,15,36,38,89,1026,2016,feb
Kit Carson,572,2367,1097,4036,96,276,337,709,4745,2016,feb
La Plata,10815,10327,11354,32496,2532,2271,4050,8853,41349,2016,feb
Lake,1650,699,1107,3456,573,309,873,1755,5211,2016,feb
Larimer,56612,67227,78358,202197,8439,8624,19395,36458,238655,2016,feb
Las Animas,3772,1941,1820,7533,796,598,760,2154,9687,2016,feb
Lincoln,393,1511,635,2539,74,195,215,484,3023,2016,feb
Logan,1799,5414,3301,10514,367,717,1048,2132,12646,2016,feb
Mesa,16081,36456,29333,81870,5228,10207,13000,28435,110305,2016,feb
Mineral,294,275,136,705,31,31,46,108,813,2016,feb
Moffat,802,3768,2009,6579,436,1129,1391,2956,9535,2016,feb
Montezuma,3328,6828,4461,14617,999,1434,1882,4315,18932,2016,feb
Montrose,4167,10794,7488,22449,499,1145,1559,3203,25652,2016,feb
Morgan,2698,5595,4512,12805,423,597,900,1920,14725,2016,feb
Otero,3254,3672,2999,9925,483,400,710,1593,11518,2016,feb
Ouray,986,1262,1218,3466,162,263,331,756,4222,2016,feb
Park,2313,4545,4100,10958,441,858,1126,2425,13383,2016,feb
Phillips,406,1431,670,2507,129,290,232,651,3158,2016,feb
Pitkin,4262,2062,5319,11643,948,562,1553,3063,14706,2016,feb
Prowers,1288,2693,1786,5767,241,461,617,1319,7086,2016,feb
Pueblo,39295,23169,27877,90341,6521,3610,8048,18179,108520,2016,feb
Rio Blanco,318,2469,761,3548,70,374,383,827,4375,2016,feb
Rio Grande,1965,2629,1613,6207,437,491,552,1480,7687,2016,feb
Routt,4513,4396,6234,15143,926,904,1905,3735,18878,2016,feb
Saguache,1603,774,1000,3377,347,157,406,910,4287,2016,feb
San Juan,164,129,275,568,43,39,89,171,739,2016,feb
San Miguel,2160,835,1769,4764,461,181,569,1211,5975,2016,feb
Sedgwick,247,851,389,1487,30,101,91,222,1709,2016,feb
Summit,5445,4244,8099,17788,1994,1593,4216,7803,25591,2016,feb
Teller,2536,7429,5188,15153,506,1206,1321,3033,18186,2016,feb
Washington,265,2039,477,2781,48,195,136,379,3160,2016,feb
Weld,32553,53946,53884,140383,6070,7475,12487,26032,166415,2016,feb
Yuma,798,2939,1558,5295,108,318,317,743,6038,2016,feb
Adams,73452,53174,78999,205625,14286,8774,19109,42169,247794,2016,jan
Alamosa,2887,2207,2124,7218,582,370,772,1724,8942,2016,jan
Arapahoe,104638,99335,114772,318745,24294,15488,34342,74124,392869,2016,jan
Archuleta,1793,3740,2208,7741,456,772,787,2015,9756,2016,jan
Baca,626,1159,668,2453,62,125,135,322,2775,2016,jan
Bent,754,825,626,2205,181,146,255,582,2787,2016,jan
Boulder,82540,34443,71051,188034,20214,9821,31398,61433,249467,2016,jan
Broomfield,11026,11703,14376,37105,2206,2053,3880,8139,45244,2016,jan
Chaffee,3127,4285,4109,11521,485,650,1108,2243,13764,2016,jan
Cheyenne,155,845,286,1286,18,55,49,122,1408,2016,jan
Clear Creek,1944,1913,2442,6299,328,318,628,1274,7573,2016,jan
Conejos,2297,1642,684,4623,413,295,246,954,5577,2016,jan
Costilla,1553,329,425,2307,199,88,207,494,2801,2016,jan
Crowley,414,893,423,1730,69,82,102,253,1983,2016,jan
Custer,467,1918,739,3124,57,216,174,447,3571,2016,jan
Delta,3301,8404,6086,17791,566,1214,1391,3171,20962,2016,jan
Denver,167678,52813,120781,341272,36558,11882,41494,89934,431206,2016,jan
Dolores,342,632,395,1369,61,85,142,288,1657,2016,jan
Douglas,38486,91002,63269,192757,6915,14029,13896,34840,227597,2016,jan
Eagle,7654,7273,11626,26553,1378,1224,3186,5788,32341,2016,jan
El Paso,72397,147694,124038,344129,17636,23673,36139,77448,421577,2016,jan
Elbert,2146,9007,5165,16318,282,1030,883,2195,18513,2016,jan
Fremont,4931,10725,8705,24361,778,1446,2104,4328,28689,2016,jan
Garfield,6977,8991,11880,27848,967,1442,2954,5363,33211,2016,jan
Gilpin,1168,1048,1564,3780,277,241,546,1064,4844,2016,jan
Grand,2023,4004,3478,9505,313,429,814,1556,11061,2016,jan
